FirstName,LastName,Email,Phone,Address,City,State,ZipCode,Country,OrderDate,Time,ShippingAddress,OrderStatus,ProductName,ProductPrice,Category,Quantity,TransactionID
Patrick,Jacobs,icox@example.org,02-8718-9946,Flat 77 54 Velez Walkway,East Matthewchester,Victoria,2666,Australia,26/12/2023,8:41:52,Suite 319 35 April Motorway,Pending,Nike T-Shirt,25,Clothing,2,808b8805-01fc-434c-9682-a11871baf9ba
John,Smith,johnsmith@gmail.com,02-8718-9946,Flat 77 54 Velez Walkway,East Matthewchester,Victoria,2666,Australia,26/12/2023,1:40:03,Flat 80 5 Fuentes Follow,Pending,Levi's 501 Jeans,100,Clothing,3,808b8805-01fc-434c-9682-a11871baf9ba
John,Smith2,johnsmith2@gmail.com,02-8718-9946,Flat 77 54 Velez Walkway,East Matthewchester,Victoria,2666,Australia,26/12/2023,16:58:49,001 John Upper,Pending,LG Washing Machine,800,Home Appliances,3,808b8805-01fc-434c-9682-a11871baf9ba
John,Smith3,johnsmith3@gmail.com,02-8718-9946,Flat 77 54 Velez Walkway,East Matthewchester,Victoria,2666,Australia,26/12/2023,16:26:12,3 Taylor Reach,Pending,iPhone 13,1200,Electronics,3,808b8805-01fc-434c-9682-a11871baf9ba
Hannah,Luna,watsonkyle@example.net,-1656,Flat 66 436 Nancy Brow,Lake Jay,Northern Territory,9605,Australia,26/12/2023,12:12:43,89 Alexander Road,Pending,Dell XPS 13,1500,Electronics,3,2be0864c-d6d2-4058-9ba5-3fc7ca701138
Hannah,Luna,watsonkyle@example.net,-1656,Flat 66 436 Nancy Brow,Lake Jay,Northern Territory,9605,Australia,26/12/2023,22:02:20,Flat 07 9 Stone Walk,Pending,Adidas Running Shoes,70,Footwear,2,2be0864c-d6d2-4058-9ba5-3fc7ca701138
Charles,Foster,johnross@example.org,3873-0789,Suite 601 3 Erin Right Of Way,Duffyfort,Victoria,2619,Australia,26/12/2023,2:13:36,35/91 Perry Promenade,Pending,Nike T-Shirt,25,Clothing,2,410cb0af-d884-436c-9540-2d31cab37f5b
Charles,Foster,johnross@example.org,3873-0789,Suite 601 3 Erin Right Of Way,Duffyfort,Victoria,2619,Australia,26/12/2023,5:28:40,87 Kyle Crossing,Pending,Dell XPS 13,1500,Electronics,3,410cb0af-d884-436c-9540-2d31cab37f5b
Charles,Foster,johnross@example.org,3873-0789,Suite 601 3 Erin Right Of Way,Duffyfort,Victoria,2619,Australia,26/12/2023,13:00:02,21 Carrillo Route,Pending,Samsung Refrigerator,1800,Home Appliances,3,410cb0af-d884-436c-9540-2d31cab37f5b
Tammy,Sanders,hancockmelissa@example.org,5641.1005,Level 9 3 Timothy Plateau,Port Kathleen,Tasmania,2693,Australia,26/12/2023,2:04:49,7 Brandy Firetrail,Pending,Adidas Running Shoes,70,Footwear,3,97d501f7-35ef-4dc3-956e-761dd81f03bc
Tammy,Sanders,hancockmelissa@example.org,5641.1005,Level 9 3 Timothy Plateau,Port Kathleen,Tasmania,2693,Australia,26/12/2023,7:41:08,6 Tina Vista,Pending,Levi's 501 Jeans,100,Clothing,3,97d501f7-35ef-4dc3-956e-761dd81f03bc
Tammy,Sanders,hancockmelissa@example.org,5641.1005,Level 9 3 Timothy Plateau,Port Kathleen,Tasmania,2693,Australia,26/12/2023,12:05:04,Unit 39 403 April Green,Pending,Dell XPS 13,1500,Electronics,1,97d501f7-35ef-4dc3-956e-761dd81f03bc
Tammy,Sanders,hancockmelissa@example.org,5641.1005,Level 9 3 Timothy Plateau,Port Kathleen,Tasmania,2693,Australia,26/12/2023,18:12:50,4/753 Ashley Mall,Pending,iPhone 13,1200,Electronics,2,97d501f7-35ef-4dc3-956e-761dd81f03bc
Charles,Thomas,georgesanchez@example.com,0486-376-553,5 Michael Link,Jackfort,Victoria,2665,Australia,26/12/2023,22:59:13,24 Christina Terrace,Pending,Harry Potter Book,20,Books,3,2b7fc2ea-d719-449c-8191-3ce6fcf1291e
Ronald,Lopez,quinnbarbara@example.org,+61.2.7195.2282,334 Mckay Boulevard,Destinyburgh,Northern Territory,2950,Australia,26/12/2023,17:00:08,020 Cathy Cul-de-sac,Pending,Samsung Refrigerator,1800,Home Appliances,3,1083d0c5-3a44-4dc2-bf45-e0dad367a71e
Ronald,Lopez,quinnbarbara@example.org,+61.2.7195.2282,334 Mckay Boulevard,Destinyburgh,Northern Territory,2950,Australia,26/12/2023,22:05:49,30/54 Jennifer Lees,Pending,Harry Potter Book,20,Books,3,1083d0c5-3a44-4dc2-bf45-e0dad367a71e
Phillip,Smith,jmorrison@example.com,+61.406.837.813,44/54 Ronald Route,New Candiceport,Tasmania,2669,Australia,26/12/2023,9:35:36,4 Jacob Landing,Pending,Levi's 501 Jeans,100,Clothing,3,85a0cac2-e49d-4885-ada8-6a277125c53e
Phillip,Smith,jmorrison@example.com,+61.406.837.813,44/54 Ronald Route,New Candiceport,Tasmania,2669,Australia,26/12/2023,9:32:37,Unit 21 22 Ann Beach,Pending,iPhone 13,1200,Electronics,1,85a0cac2-e49d-4885-ada8-6a277125c53e
Regina,Dean,monica58@example.net,-9153,6 Santos Expressway,Carlsonhaven,Victoria,6131,Australia,26/12/2023,19:59:58,79 Daniel Crescent,Pending,Levi's 501 Jeans,100,Clothing,2,5b65059d-cfba-417c-bf0d-ce0c65c51267
Regina,Dean,monica58@example.net,-9153,6 Santos Expressway,Carlsonhaven,Victoria,6131,Australia,26/12/2023,9:12:21,227/342 King Ramble,Pending,LG Washing Machine,800,Home Appliances,1,5b65059d-cfba-417c-bf0d-ce0c65c51267
Regina,Dean,monica58@example.net,-9153,6 Santos Expressway,Carlsonhaven,Victoria,6131,Australia,26/12/2023,21:04:34,Unit 22 69 Lewis Retreat,Pending,Dell XPS 13,1500,Electronics,1,5b65059d-cfba-417c-bf0d-ce0c65c51267
Brooke,Martin,watsonnathan@example.org,-1272,057/493 Roger Crossway,Lake Sarahburgh,South Australia,2920,Australia,26/12/2023,23:45:14,95 Jessica Underpass,Pending,Adidas Running Shoes,70,Footwear,3,f139df8e-7843-4960-9f16-7eea1e916151
Robert,Glass,knoxamy@example.org,+61 7 1483 5967,6 Michael Mall,Port Jay,Australian Capital Territory,2991,Australia,26/12/2023,12:39:58,Suite 958 52 Madeline Pocket,Pending,Dell XPS 13,1500,Electronics,2,8013e15f-598d-4a30-a003-81218dd8cd89
Robert,Glass,knoxamy@example.org,+61 7 1483 5967,6 Michael Mall,Port Jay,Australian Capital Territory,2991,Australia,26/12/2023,15:50:00,2 Jeremy Bridge,Pending,Nike T-Shirt,25,Clothing,1,8013e15f-598d-4a30-a003-81218dd8cd89
Robert,Glass,knoxamy@example.org,+61 7 1483 5967,6 Michael Mall,Port Jay,Australian Capital Territory,2991,Australia,26/12/2023,14:44:20,456 Freeman Retreat,Pending,Samsung Refrigerator,1800,Home Appliances,3,8013e15f-598d-4a30-a003-81218dd8cd89
Robert,Glass,knoxamy@example.org,+61 7 1483 5967,6 Michael Mall,Port Jay,Australian Capital Territory,2991,Australia,26/12/2023,0:58:35,46 Schneider Arcade,Pending,iPhone 13,1200,Electronics,3,8013e15f-598d-4a30-a003-81218dd8cd89
