FirstName,LastName,Email,Phone,Address,City,State,ZipCode,Country,OrderDate,Time,ShippingAddress,OrderStatus,ProductName,ProductPrice,Category,Quantity,TransactionID,StoreLocation
Brandi,Allen,clarkdavid@example.org,+61-8-7510-8071,Apt. 346 54 Michael Crescent,Kristenstad,Western Australia,2947,Australia,26/12/2023,16:40:47,8 King Esplanade,Pending,Harry Potter Book,20,Books,3,7a152e72-754b-4426-b3e9-a915a0b0271c,Sydney
Brandi,Allen,clarkdavid@example.org,+61-8-7510-8071,Apt. 346 54 Michael Crescent,Kristenstad,Western Australia,2947,Australia,26/12/2023,13:55:51,4/43 Alexander Run,Pending,Nike T-Shirt,25,Clothing,1,7a152e72-754b-4426-b3e9-a915a0b0271c,Sydney
Austin,Dean,michelle00@example.com,07.1169.3440,Level 7 0 Brittany Brae,Port Raymond,New South Wales,2923,Australia,26/12/2023,23:54:33,Apt. 839 321 Kelly Mews,Pending,Samsung Refrigerator,1800,Home Appliances,1,6bb3f742-40aa-4cec-8f19-fcdf459f04b5,Adelaide
Austin,Dean,michelle00@example.com,07.1169.3440,Level 7 0 Brittany Brae,Port Raymond,New South Wales,2923,Australia,26/12/2023,05:18:12,221 Shawn Dale,Pending,Harry Potter Book,20,Books,2,6bb3f742-40aa-4cec-8f19-fcdf459f04b5,Brisbane
Austin,Dean,michelle00@example.com,07.1169.3440,Level 7 0 Brittany Brae,Port Raymond,New South Wales,2923,Australia,26/12/2023,13:56:04,34 Michael Front,Pending,Dell XPS 13,1500,Electronics,3,6bb3f742-40aa-4cec-8f19-fcdf459f04b5,Perth
Austin,Dean,michelle00@example.com,07.1169.3440,Level 7 0 Brittany Brae,Port Raymond,New South Wales,2923,Australia,26/12/2023,17:02:25,Level 1 1 Randy Parklands,Pending,Adidas Running Shoes,70,Footwear,3,6bb3f742-40aa-4cec-8f19-fcdf459f04b5,Perth
Tami,Williams,garciafernando@example.org,1806.6160,Suite 630 46 Johnson River,Wolfefurt,Tasmania,8765,Australia,26/12/2023,16:56:12,657 Richard Causeway,Pending,Adidas Running Shoes,70,Footwear,2,bbf1bd84-6a25-4196-8593-06e5917b2748,Sydney
Tami,Williams,garciafernando@example.org,1806.6160,Suite 630 46 Johnson River,Wolfefurt,Tasmania,8765,Australia,26/12/2023,06:57:11,Suite 166 384 Williams Courtyard,Pending,Nike T-Shirt,25,Clothing,2,bbf1bd84-6a25-4196-8593-06e5917b2748,Brisbane
Tami,Williams,garciafernando@example.org,1806.6160,Suite 630 46 Johnson River,Wolfefurt,Tasmania,8765,Australia,26/12/2023,14:41:48,Suite 122 815 Brooke Firetrail,Pending,Levi's 501 Jeans,100,Clothing,2,bbf1bd84-6a25-4196-8593-06e5917b2748,Sydney
Patricia,Alvarez,mooneyshawn@example.org,+61-3-7428-8553,9 James Riviera,St. Amyburgh,South Australia,2668,Australia,26/12/2023,13:30:36,413 Julie Range,Pending,Levi's 501 Jeans,100,Clothing,3,18df82d8-6942-4bc6-bc95-42d53c007afb,Sydney
